Dataset,SamplingMethod,SampleSize,Accuracy,ExampleLeakage,Running_Time,F1_Score,Precisions,Recalls,FeatureEncoder_Time,TruePositive,FalsePositive,FalseNegative,TrueNegative
helpdesk,none,100,0.8172401035886052,0.9796522382537921,25.89072322845459,0.7805520451341834,0.7651819745323509,0.8172401035886052,0.015550374984741211,2209,494,494,21130
helpdesk,relevance,70,0.7935285053929122,0.9861325115562404,10.758817672729492,0.7412278863810986,0.6976843403359769,0.7935285053929122,3.5145630836486816,1545,402,402,15174
helpdesk,relevance,50,0.7694915254237288,0.9884745762711864,6.395479202270508,0.7208063605955682,0.7044816624578983,0.7694915254237288,1.8357319831848145,1135,340,340,7035
helpdesk,relevance,30,0.7359154929577465,0.9788732394366197,5.180422306060791,0.6840375537455078,0.6443504748768039,0.7359154929577465,1.321169137954712,627,225,225,4035
helpdesk,random,70,0.8037578288100209,0.9832985386221295,18.14503765106201,0.7557908554438835,0.7159693601748298,0.8037578288100209,0.09352397918701172,1540,376,376,11120
helpdesk,random,50,0.8172514619883041,0.9868421052631579,14.184921741485596,0.7674245638912432,0.7253215167621702,0.8172514619883041,0.04143810272216797,1118,250,250,7958
helpdesk,random,30,0.7859690844233056,0.985731272294887,12.677087306976318,0.7429635964947465,0.7052580581785176,0.7859690844233056,0.018053054809570312,661,180,180,3184
helpdesk,random,10,0.7970479704797048,0.955719557195572,8.109156131744385,0.7477768697445243,0.7049229863294556,0.7970479704797048,0.031207561492919922,216,55,55,1300
helpdesk,random,5,0.5757575757575758,0.9545454545454546,6.350892782211304,0.44310599103987536,0.3726780964302479,0.5757575757575758,0.021965503692626953,76,56,56,472
helpdesk,variant,70,0.7888548057259713,0.9703476482617587,11.87296199798584,0.7367403788938792,0.6919457116943754,0.7888548057259713,0.28592967987060547,1543,413,413,13279
helpdesk,variant,50,0.8037249283667621,0.9663323782234957,9.480259895324707,0.7620929162316356,0.7417934508355208,0.8037249283667621,0.17654156684875488,1122,274,274,8102
helpdesk,variant,30,0.7728337236533958,0.9566744730679156,6.224505186080933,0.7243593911717814,0.6824316757460955,0.7728337236533958,0.12549352645874023,660,194,194,4930
helpdesk,variant,10,0.8133802816901409,0.9753521126760564,3.0632338523864746,0.7629750362326143,0.7189027705701276,0.8133802816901409,0.04414105415344238,231,53,53,1083
helpdesk,variant,5,0.5273972602739726,0.9178082191780822,2.623159885406494,0.39514086745072163,0.32493721461187214,0.5273972602739726,0.04687309265136719,77,69,69,661
