Dataset,Sampling Method,SampleSize,Accuracy,Example Leakage,Running_Time,F1_Score,Precisions,Recalls,FeatureEncoder_Time,TruePositive,FalsePositive,FalseNegative,TrueNegative
bpicc2012,none,100,0.8529163303234527,0.795359402278999,2350.717802286148,0.8336957773226585,0.8339939211384574,0.8529163303234527,0.18862509727478027,45434,7835,7835,1217352
bpic2012,relevance,70,0.8603309757604889,0.7834924122776901,811.088100194931,0.8346965622447434,0.8499649208551731,0.8603309757604889,15910.597445964813,37587,6102,6102,955056
bpic2012,relevance,50,0.8629322195199324,0.7436819287300412,1897.8313672542572,0.8382651612819176,0.8423074444178555,0.8629322195199324,15395.340351581573,32643,5185,5185,864859
bpic2012,relevance,30,0.8690513081588384,0.733100181504272,406.6496946811676,0.8448828851624441,0.849557760638136,0.8690513081588384,11797.060910463333,19631,2958,2958,494000
bpic2012,relevance,10,0.8633555420956995,0.6501514233797698,374.2727460861206,0.8335059277180165,0.8227657722163852,0.8633555420956995,7209.784432888031,7127,1128,1128,172227
bpic2012,relevance,5,0.824235807860262,0.6624192139737991,44.83133578300476,0.7866145165473267,0.7725120830868827,0.824235807860262,434.92508578300476,2265,483,483,59973
bpic2012,relevance,3,0.7873977873977874,0.6546416546416547,13.897249937057495,0.7480902004476375,0.7244129510349527,0.7873977873977874,96.33065247535706,1637,442,442,43217
bpic2012,random,70,0.8554998132038213,0.7816886374553024,668.0870156288147,0.8297488642742039,0.8517542124596049,0.8554998132038213,0.3731551170349121,32059,5415,5415,819013
bpic2012,random,50,0.8515249692771757,0.7636018321975199,475.0551779270172,0.8283887967659859,0.8362231072168075,0.8515249692771757,0.2823019027709961,22866,3987,3987,613632
bpic2012,random,30,0.8510153605831815,0.751822442072377,814.1669571399689,0.8186675796326471,0.8332162062372072,0.8510153605831815,0.20380902290344238,13075,2289,2289,335719
bpic2012,random,10,0.8190351041862212,0.6658532006758026,59.14721488952637,0.7690236590749416,0.7436963389122713,0.8190351041862212,0.20444464683532715,4363,964,964,116230
bpic2012,random,5,0.7695223654283548,0.6580742987111448,105.22517514228821,0.7172879690412315,0.6750566063637456,0.7695223654283548,0.3009967803955078,2030,608,608,54790
bpic2012,random,3,0.6776740847092606,0.6977745872218234,94.46990990638733,0.6230994504500496,0.5863709091973405,0.6776740847092606,0.8768067359924316,944,449,449,28804
bpic2012,variant,70,0.8527582255688329,0.7842527418562776,1883.7381346225739,0.8215836413511143,0.8168716272960136,0.8527582255688329,32.25706601142883,31257,5397,5397,800991
bpic2012,variant,50,0.851623891921186,0.7953780048774823,529.6406240463257,0.8271650143640861,0.8378749808258266,0.851623891921186,9.634577989578247,22000,3833,3833,590326
bpic2012,variant,30,0.8518632773938796,0.7751110562685094,310.9054129123688,0.8262116421740443,0.8485159618228287,0.8518632773938796,3.9472122192382812,13807,2401,2401,354175
bpic2012,variant,10,0.8256323777403035,0.6809443507588533,82.35005331039429,0.7797284072699197,0.7886090730314143,0.8256323777403035,1.45711088180542,4896,1034,1034,129426
bpic2012,variant,5,0.8016920473773266,0.6196277495769882,43.19880247116089,0.754937572000401,0.7240910523312362,0.8016920473773266,0.8624362945556641,2369,586,586,64424
bpic2012,variant,3,0.6908060453400504,0.6486146095717884,26.208794355392456,0.6382024258712927,0.603637483303761,0.6908060453400504,0.6012873649597168,1097,491,491,32857
