Dataset,Sampling Method,Accuracy,Example Leakage,Running_Time,F1_Score,Precisions,Recalls,FeatureEncoder_Time,TruePositive,FalsePositive,FalseNegative,TrueNegative
bpi2013,none,0.7206888771903437,0.8211626682710386,372.6156620979309,0.6640045130094893,0.6666107207724931,0.7206888771903437,0.2542603015899658,9583,3714,3714,49474
bpi2013,relevance 0.7,0.7331332969630842,0.8028732496817603,145.89969325065613,0.711453854985576,0.7432177791834563,0.7331332969630842,35.29691171646118,8063,2935,2935,30059
bpi2013,relevance 0.5,0.7185099846390169,0.7859703020993344,79.35609889030457,0.7014864401460421,0.7299690741473082,0.7185099846390169,25.831510305404663,5613,2199,2199,29049
bpi2013,relevance 0.3,0.7222979109900091,0.7874659400544959,38.5362012386322,0.7166577291113041,0.7390291990409096,0.7222979109900091,23.668774843215942,3181,1223,1223,11989
bpi2013,random 0.3,0.7177541729893778,0.8032372281234194,109.03227186203003,0.660587864585922,0.6560734296508685,0.7177541729893778,0.2680232524871826,2838,1116,1116,10746
bpi2013,random 0.5,0.7265206067105868,0.8054236249425464,177.4120376110077,0.7015531033335084,0.7332729312471172,0.7265206067105868,0.3320150375366211,4742,1785,1785,17796
bpi2013,random 0.7,0.7241494701617401,0.8314556609035136,331.35049295425415,0.6991884884371312,0.7392193563069499,0.7241494701617401,0.4746575355529785,6492,2473,2473,33387
bpi2013,random 0.1,0.675531914893617,0.8289007092198581,30.399919748306274,0.6092744223479615,0.6030187306783051,0.675531914893617,0.18946075439453125,762,366,366,3018
